NÚMERO FATURA CLIENTE;CONCEITO;CLIENTE;PROVÍNCIA;SETOR;IMPORTE CLIENTE;DATA FATURA CLIENTE;PAGAMENTO CLIENTE;FORNECEDOR;ZONA;TIPO;IMPORTE FORNECEDOR
13;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 8.500,00 € ;09/06/2021;SIM;PROV-001;ZONA 1;EXTERNO; 3.825,00 € 
14;PROJETO;CLIENTE-0001;MADRI;METAL; 1.200,00 € ;02/03/2021;SIM;PROV-005;ZONA 2;INTERNO; 540,00 € 
15;EQUIPES;CLIENTE-0010;MADRI;BANCO; 300,00 € ;21/02/2019;NÃO;PROV-003;ZONA 2;INTERNO; 135,00 € 
16;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 200,00 € ;12/02/2020;NÃO;PROV-005;ZONA 2;INTERNO; 90,00 € 
17;DESENVOLVIMENTO;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 150,00 € ;29/05/2019;NÃO;PROV-005;ZONA 2;INTERNO; 67,50 € 
18;PROJETO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 120,00 € ;02/07/2019;NÃO;PROV-003;ZONA 2;INTERNO; 54,00 € 
19;EQUIPES;CLIENTE-0004;MADRI;CONSTRUÇÃO; 300,00 € ;01/12/2019;NÃO;PROV-005;ZONA 2;INTERNO; 135,00 € 
20;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 350,00 € ;11/09/2021;NÃO;PROV-003;ZONA 2;INTERNO; 157,50 € 
21;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 300,00 € ;02/10/2019;NÃO;PROV-005;ZONA 2;INTERNO; 135,00 € 
22;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 120,00 € ;05/04/2019;SIM;PROV-005;ZONA 2;INTERNO; 54,00 € 
23;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 150,00 € ;02/11/2021;SIM;PROV-003;ZONA 2;INTERNO; 67,50 € 
24;PROJETO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;14/11/2020;SIM;PROV-001;ZONA 1;EXTERNO; 540,00 € 
25;EQUIPES;CLIENTE-0010;MADRI;BANCO; 800,00 € ;28/03/2019;SIM;PROV-002;ZONA 1;EXTERNO; 360,00 € 
26;PROGRAMA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;10/04/2020;SIM;PROV-001;ZONA 1;EXTERNO; 337,50 € 
27;PROJETO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;03/06/2021;SIM;PROV-004;ZONA 1;EXTERNO; 2.025,00 € 
28;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;06/05/2021;SIM;PROV-004;ZONA 1;EXTERNO; 150,00 € 
29;PROGRAMA;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;22/03/2020;SIM;PROV-004;ZONA 1;EXTERNO; 225,00 € 
30;FORMAÇÃO;CLIENTE-0007;BARCELONA;BANCO; 950,00 € ;04/07/2021;SIM;PROV-004;ZONA 1;EXTERNO; 285,00 € 
31;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;12/05/2021;SIM;PROV-004;ZONA 1;EXTERNO; 204,00 € 
32;DESENVOLVIMENTO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 950,00 € ;21/05/2019;SIM;PROV-005;ZONA 2;INTERNO; 285,00 € 
33;PROJETO;CLIENTE-0010;MADRI;BANCO; 1.500,00 € ;15/10/2019;SIM;PROV-003;ZONA 2;INTERNO; 450,00 € 
34;EQUIPES;CLIENTE-0001;MADRI;METAL; 5.000,00 € ;27/09/2021;SIM;PROV-005;ZONA 2;INTERNO; 1.500,00 € 
35;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 6.500,00 € ;27/10/2019;SIM;PROV-005;ZONA 2;INTERNO; 1.950,00 € 
36;DESENVOLVIMENTO;CLIENTE-0001;MADRI;METAL; 8.500,00 € ;22/02/2020;SIM;PROV-003;ZONA 2;INTERNO; 2.550,00 € 
37;PROJETO;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;20/10/2021;SIM;PROV-005;ZONA 2;INTERNO; 360,00 € 
38;EQUIPES;CLIENTE-0003;MADRI;CONSTRUÇÃO; 300,00 € ;16/06/2021;SIM;PROV-003;ZONA 2;INTERNO; 90,00 € 
39;PROGRAMA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 200,00 € ;01/07/2020;SIM;PROV-005;ZONA 2;INTERNO; 60,00 € 
40;FORMAÇÃO;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;14/11/2019;SIM;PROV-005;ZONA 2;INTERNO; 45,00 € 
41;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCO; 120,00 € ;09/05/2019;SIM;PROV-003;ZONA 2;INTERNO; 36,00 € 
42;DESENVOLVIMENTO;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;26/06/2021;SIM;PROV-001;ZONA 1;EXTERNO; 90,00 € 
43;PROJETO;CLIENTE-0008;ALICANTE;METAL; 350,00 € ;23/02/2019;NÃO;PROV-002;ZONA 1;EXTERNO; 105,00 € 
44;EQUIPES;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 300,00 € ;05/07/2021;NÃO;PROV-001;ZONA 1;EXTERNO; 90,00 € 
45;PROGRAMA;CLIENTE-0010;MADRI;BANCO; 120,00 € ;05/07/2021;NÃO;PROV-005;ZONA 2;INTERNO; 36,00 € 
46;FORMAÇÃO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;28/11/2021;NÃO;PROV-003;ZONA 2;INTERNO; 45,00 € 
47;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 8.500,00 € ;04/03/2021;NÃO;PROV-005;ZONA 2;INTERNO; 2.550,00 € 
48;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 1.200,00 € ;15/08/2021;NÃO;PROV-005;ZONA 2;INTERNO; 360,00 € 
49;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;06/01/2021;NÃO;PROV-003;ZONA 2;INTERNO; 90,00 € 
50;EQUIPES;CLIENTE-0003;MADRI;CONSTRUÇÃO; 200,00 € ;13/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 60,00 € 
51;PROGRAMA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;25/06/2020;SIM;PROV-003;ZONA 2;INTERNO; 45,00 € 
52;FORMAÇÃO;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;29/08/2021;SIM;PROV-005;ZONA 2;INTERNO; 36,00 € 
53;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;20/01/2021;SIM;PROV-005;ZONA 2;INTERNO; 90,00 € 
54;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 350,00 € ;16/12/2021;SIM;PROV-003;ZONA 2;INTERNO; 105,00 € 
55;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;06/11/2020;SIM;PROV-001;ZONA 1;EXTERNO; 90,00 € 
56;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;07/12/2021;SIM;PROV-002;ZONA 1;EXTERNO; 36,00 € 
57;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 150,00 € ;07/02/2019;NÃO;PROV-001;ZONA 1;EXTERNO; 45,00 € 
58;FORMAÇÃO;CLIENTE-0010;MADRI;BANCO; 1.200,00 € ;14/07/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 360,00 € 
59;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 800,00 € ;13/08/2020;NÃO;PROV-004;ZONA 1;EXTERNO; 240,00 € 
60;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 750,00 € ;22/09/2020;NÃO;PROV-004;ZONA 1;EXTERNO; 225,00 € 
61;PROJETO;CLIENTE-0001;MADRI;METAL; 4.500,00 € ;11/05/2021;NÃO;PROV-004;ZONA 1;EXTERNO; 1.350,00 € 
62;EQUIPES;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 500,00 € ;05/05/2020;NÃO;PROV-004;ZONA 1;EXTERNO; 150,00 € 
63;PROGRAMA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 750,00 € ;29/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 225,00 € 
64;FORMAÇÃO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 950,00 € ;18/06/2019;SIM;PROV-003;ZONA 2;INTERNO; 285,00 € 
65;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;11/02/2021;SIM;PROV-005;ZONA 2;INTERNO; 204,00 € 
66;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 950,00 € ;14/03/2021;SIM;PROV-005;ZONA 2;INTERNO; 285,00 € 
67;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 1.500,00 € ;05/09/2021;SIM;PROV-003;ZONA 2;INTERNO; 450,00 € 
68;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;21/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 1.500,00 € 
69;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 6.500,00 € ;02/05/2019;SIM;PROV-003;ZONA 2;INTERNO; 1.950,00 € 
70;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 1.200,00 € ;29/04/2019;SIM;PROV-005;ZONA 2;INTERNO; 360,00 € 
71;PROJETO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 800,00 € ;25/03/2021;SIM;PROV-005;ZONA 2;INTERNO; 240,00 € 
72;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;26/05/2020;SIM;PROV-003;ZONA 2;INTERNO; 225,00 € 
73;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;22/06/2020;SIM;PROV-001;ZONA 1;EXTERNO; 1.125,00 € 
74;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 500,00 € ;04/07/2020;SIM;PROV-002;ZONA 1;EXTERNO; 125,00 € 
75;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 750,00 € ;09/12/2020;SIM;PROV-001;ZONA 1;EXTERNO; 187,50 € 
76;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;27/09/2020;SIM;PROV-005;ZONA 2;INTERNO; 237,50 € 
77;PROJETO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 680,00 € ;09/11/2019;SIM;PROV-003;ZONA 2;INTERNO; 170,00 € 
78;EQUIPES;CLIENTE-0010;MADRI;BANCO; 950,00 € ;27/11/2019;SIM;PROV-005;ZONA 2;INTERNO; 237,50 € 
79;PROGRAMA;CLIENTE-0001;MADRI;METAL; 1.500,00 € ;18/06/2019;SIM;PROV-005;ZONA 2;INTERNO; 375,00 € 
80;FORMAÇÃO;CLIENTE-0010;MADRI;BANCO; 5.000,00 € ;01/04/2021;SIM;PROV-003;ZONA 2;INTERNO; 1.250,00 € 
81;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 6.500,00 € ;16/10/2021;SIM;PROV-005;ZONA 2;INTERNO; 1.625,00 € 
82;DESENVOLVIMENTO;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 8.500,00 € ;09/09/2019;SIM;PROV-003;ZONA 2;INTERNO; 2.125,00 € 
83;PROJETO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 1.200,00 € ;26/12/2020;SIM;PROV-005;ZONA 2;INTERNO; 300,00 € 
84;EQUIPES;CLIENTE-0004;MADRI;CONSTRUÇÃO; 300,00 € ;11/07/2019;NÃO;PROV-005;ZONA 2;INTERNO; 75,00 € 
85;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 200,00 € ;22/02/2019;NÃO;PROV-003;ZONA 2;INTERNO; 50,00 € 
86;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 150,00 € ;25/01/2020;NÃO;PROV-001;ZONA 1;EXTERNO; 37,50 € 
87;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 120,00 € ;09/10/2020;NÃO;PROV-002;ZONA 1;EXTERNO; 30,00 € 
88;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;11/05/2021;NÃO;PROV-001;ZONA 1;EXTERNO; 75,00 € 
89;DESENVOLVIMENTO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 350,00 € ;19/09/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 87,50 € 
90;PROJETO;CLIENTE-0010;MADRI;BANCO; 300,00 € ;29/07/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 75,00 € 
91;EQUIPES;CLIENTE-0004;MADRI;CONSTRUÇÃO; 120,00 € ;12/09/2019;SIM;PROV-004;ZONA 1;EXTERNO; 30,00 € 
92;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;13/12/2021;SIM;PROV-004;ZONA 1;EXTERNO; 37,50 € 
93;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 1.200,00 € ;08/07/2020;SIM;PROV-004;ZONA 1;EXTERNO; 300,00 € 
94;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 800,00 € ;19/07/2020;SIM;PROV-005;ZONA 2;INTERNO; 200,00 € 
95;DESENVOLVIMENTO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 750,00 € ;23/10/2020;SIM;PROV-003;ZONA 2;INTERNO; 187,50 € 
96;PROJETO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 4.500,00 € ;14/10/2019;SIM;PROV-005;ZONA 2;INTERNO; 1.125,00 € 
97;EQUIPES;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;16/11/2019;SIM;PROV-005;ZONA 2;INTERNO; 125,00 € 
98;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;25/03/2020;SIM;PROV-003;ZONA 2;INTERNO; 187,50 € 
99;FORMAÇÃO;CLIENTE-0006;BARCELONA;BANCO; 950,00 € ;19/04/2021;SIM;PROV-005;ZONA 2;INTERNO; 237,50 € 
100;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 680,00 € ;26/10/2021;SIM;PROV-003;ZONA 2;INTERNO; 170,00 € 
101;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;20/03/2020;SIM;PROV-005;ZONA 2;INTERNO; 237,50 € 
102;PROJETO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 1.500,00 € ;01/04/2021;SIM;PROV-005;ZONA 2;INTERNO; 375,00 € 
103;EQUIPES;CLIENTE-0010;MADRI;BANCO; 5.000,00 € ;08/02/2020;SIM;PROV-003;ZONA 2;INTERNO; 1.250,00 € 
104;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 6.500,00 € ;21/06/2021;SIM;PROV-001;ZONA 1;EXTERNO; 1.625,00 € 
105;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 8.500,00 € ;10/01/2021;SIM;PROV-002;ZONA 1;EXTERNO; 2.125,00 € 
106;PROJETO;CLIENTE-0001;MADRI;METAL; 1.200,00 € ;01/03/2020;SIM;PROV-001;ZONA 1;EXTERNO; 300,00 € 
107;EQUIPES;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 300,00 € ;06/09/2020;SIM;PROV-005;ZONA 2;INTERNO; 75,00 € 
108;PROGRAMA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 200,00 € ;18/12/2020;SIM;PROV-003;ZONA 2;INTERNO; 80,00 € 
109;FORMAÇÃO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;14/03/2019;SIM;PROV-005;ZONA 2;INTERNO; 60,00 € 
110;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;07/09/2020;SIM;PROV-005;ZONA 2;INTERNO; 48,00 € 
111;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 300,00 € ;05/12/2020;NÃO;PROV-003;ZONA 2;INTERNO; 120,00 € 
112;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 350,00 € ;16/05/2020;NÃO;PROV-005;ZONA 2;INTERNO; 140,00 € 
113;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;07/07/2021;NÃO;PROV-003;ZONA 2;INTERNO; 120,00 € 
114;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 120,00 € ;14/10/2019;NÃO;PROV-005;ZONA 2;INTERNO; 48,00 € 
115;PROJETO;CLIENTE-0010;MADRI;BANCO; 150,00 € ;25/06/2020;NÃO;PROV-005;ZONA 2;INTERNO; 60,00 € 
116;EQUIPES;CLIENTE-0004;MADRI;CONSTRUÇÃO; 8.500,00 € ;15/02/2021;NÃO;PROV-003;ZONA 2;INTERNO; 3.400,00 € 
117;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 1.200,00 € ;30/06/2020;NÃO;PROV-001;ZONA 1;EXTERNO; 480,00 € 
118;FORMAÇÃO;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;12/12/2019;SIM;PROV-002;ZONA 1;EXTERNO; 120,00 € 
119;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCO; 200,00 € ;07/10/2019;SIM;PROV-001;ZONA 1;EXTERNO; 80,00 € 
120;DESENVOLVIMENTO;CLIENTE-0007;BARCELONA;BANCO; 150,00 € ;29/10/2020;SIM;PROV-004;ZONA 1;EXTERNO; 60,00 € 
121;PROJETO;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;31/12/2020;SIM;PROV-004;ZONA 1;EXTERNO; 48,00 € 
122;EQUIPES;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 300,00 € ;30/05/2019;SIM;PROV-004;ZONA 1;EXTERNO; 120,00 € 
123;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 350,00 € ;24/11/2021;SIM;PROV-004;ZONA 1;EXTERNO; 140,00 € 
124;DESENVOLVIMENTO;CLIENTE-0001;MADRI;METAL; 300,00 € ;23/06/2019;SIM;PROV-004;ZONA 1;EXTERNO; 120,00 € 
125;PROJETO;CLIENTE-0010;MADRI;BANCO; 120,00 € ;25/04/2020;SIM;PROV-003;ZONA 2;INTERNO; 48,00 € 
126;EQUIPES;CLIENTE-0001;MADRI;METAL; 150,00 € ;05/01/2019;SIM;PROV-005;ZONA 2;INTERNO; 60,00 € 
127;PROGRAMA;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;27/02/2020;SIM;PROV-005;ZONA 2;INTERNO; 480,00 € 
128;FORMAÇÃO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 800,00 € ;02/07/2021;SIM;PROV-003;ZONA 2;INTERNO; 320,00 € 
129;CONSULTORIA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;18/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 300,00 € 
130;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;08/12/2020;SIM;PROV-003;ZONA 2;INTERNO; 1.800,00 € 
131;PROJETO;CLIENTE-0006;BARCELONA;BANCO; 500,00 € ;28/03/2020;SIM;PROV-005;ZONA 2;INTERNO; 200,00 € 
132;EQUIPES;CLIENTE-0007;BARCELONA;BANCO; 750,00 € ;14/07/2021;SIM;PROV-005;ZONA 2;INTERNO; 300,00 € 
133;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 950,00 € ;28/02/2021;SIM;PROV-003;ZONA 2;INTERNO; 380,00 € 
134;FORMAÇÃO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 680,00 € ;25/02/2019;SIM;PROV-001;ZONA 1;EXTERNO; 272,00 € 
135;CONSULTORIA;CLIENTE-0010;MADRI;BANCO; 950,00 € ;15/05/2021;SIM;PROV-002;ZONA 1;EXTERNO; 380,00 € 
136;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 1.500,00 € ;09/06/2021;SIM;PROV-001;ZONA 1;EXTERNO; 600,00 € 
137;PROJETO;CLIENTE-0005;BARCELONA;METAL; 5.000,00 € ;30/12/2020;SIM;PROV-005;ZONA 2;INTERNO; 2.000,00 € 
138;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 6.500,00 € ;07/07/2019;SIM;PROV-003;ZONA 2;INTERNO; 2.600,00 € 
139;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 1.200,00 € ;16/11/2021;NÃO;PROV-005;ZONA 2;INTERNO; 480,00 € 
140;FORMAÇÃO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 800,00 € ;03/01/2021;NÃO;PROV-005;ZONA 2;INTERNO; 320,00 € 
141;CONSULTORIA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;04/09/2019;NÃO;PROV-003;ZONA 2;INTERNO; 300,00 € 
142;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;27/02/2021;NÃO;PROV-005;ZONA 2;INTERNO; 2.025,00 € 
143;PROJETO;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;16/03/2020;NÃO;PROV-003;ZONA 2;INTERNO; 225,00 € 
144;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;08/10/2020;NÃO;PROV-005;ZONA 2;INTERNO; 337,50 € 
145;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 950,00 € ;01/05/2021;NÃO;PROV-005;ZONA 2;INTERNO; 427,50 € 
146;FORMAÇÃO;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;20/12/2021;SIM;PROV-003;ZONA 2;INTERNO; 306,00 € 
147;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 950,00 € ;21/12/2019;SIM;PROV-001;ZONA 1;EXTERNO; 427,50 € 
148;DESENVOLVIMENTO;CLIENTE-0010;MADRI;BANCO; 1.500,00 € ;06/02/2021;SIM;PROV-002;ZONA 1;EXTERNO; 675,00 € 
149;PROJETO;CLIENTE-0001;MADRI;METAL; 5.000,00 € ;18/03/2021;SIM;PROV-001;ZONA 1;EXTERNO; 2.250,00 € 
150;EQUIPES;CLIENTE-0010;MADRI;BANCO; 6.500,00 € ;29/06/2019;SIM;PROV-004;ZONA 1;EXTERNO; 2.925,00 € 
151;PROGRAMA;CLIENTE-0001;MADRI;METAL; 8.500,00 € ;05/11/2020;SIM;PROV-004;ZONA 1;EXTERNO; 3.825,00 € 
152;FORMAÇÃO;CLIENTE-0002;ALICANTE;CONSTRUÇÃO; 1.200,00 € ;20/03/2019;SIM;PROV-004;ZONA 1;EXTERNO; 540,00 € 
153;CONSULTORIA;CLIENTE-0003;MADRI;CONSTRUÇÃO; 300,00 € ;31/08/2019;NÃO;PROV-004;ZONA 1;EXTERNO; 135,00 € 
154;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 200,00 € ;26/08/2020;NÃO;PROV-004;ZONA 1;EXTERNO; 90,00 € 
155;PROJETO;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;26/01/2021;NÃO;PROV-005;ZONA 2;INTERNO; 67,50 € 
156;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 120,00 € ;04/09/2021;NÃO;PROV-003;ZONA 2;INTERNO; 54,00 € 
157;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCO; 300,00 € ;05/06/2020;NÃO;PROV-005;ZONA 2;INTERNO; 135,00 € 
158;DESENVOLVIMENTO;CLIENTE-0008;ALICANTE;METAL; 350,00 € ;28/03/2021;NÃO;PROV-005;ZONA 2;INTERNO; 157,50 € 
159;PROJETO;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 300,00 € ;01/08/2019;SIM;PROV-003;ZONA 2;INTERNO; 135,00 € 
160;EQUIPES;CLIENTE-0010;MADRI;BANCO; 120,00 € ;31/05/2020;SIM;PROV-005;ZONA 2;INTERNO; 54,00 € 
161;PROGRAMA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 150,00 € ;29/03/2020;SIM;PROV-003;ZONA 2;INTERNO; 67,50 € 
162;FORMAÇÃO;CLIENTE-0005;BARCELONA;METAL; 1.200,00 € ;10/05/2021;SIM;PROV-005;ZONA 2;INTERNO; 540,00 € 
163;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 800,00 € ;02/09/2020;SIM;PROV-005;ZONA 2;INTERNO; 360,00 € 
164;DESENVOLVIMENTO;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;13/09/2021;SIM;PROV-003;ZONA 2;INTERNO; 337,50 € 
165;PROJETO;CLIENTE-0007;BARCELONA;BANCO; 4.500,00 € ;17/02/2021;SIM;PROV-001;ZONA 1;EXTERNO; 2.025,00 € 
166;EQUIPES;CLIENTE-0008;ALICANTE;METAL; 500,00 € ;15/03/2019;SIM;PROV-002;ZONA 1;EXTERNO; 225,00 € 
167;PROGRAMA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 750,00 € ;10/09/2021;SIM;PROV-001;ZONA 1;EXTERNO; 225,00 € 
168;FORMAÇÃO;CLIENTE-0010;MADRI;BANCO; 950,00 € ;16/06/2019;SIM;PROV-005;ZONA 2;INTERNO; 285,00 € 
169;CONSULTORIA;CLIENTE-0001;MADRI;METAL; 680,00 € ;22/06/2019;SIM;PROV-003;ZONA 2;INTERNO; 204,00 € 
